"SubscriptionType","MonthlyRevenue","JoinDate","LastPaymentDate","Country","Age","Gender","Device"
"Basic",10,"15-01-22","10-06-23","United States",28,"Male","Smartphone"
"Premium",15,"05-09-21","22-06-23","Canada",35,"Female","Tablet"
"Standard",12,"28-02-23","27-06-23","United Kingdom",42,"Male","Smart TV"
"Standard",12,"10-07-22","26-06-23","Australia",51,"Female","Laptop"
"Basic",10,"01-05-23","28-06-23","Germany",33,"Male","Smartphone"
"Premium",15,"18-03-22","27-06-23","France",29,"Female","Smart TV"
"Standard",12,"09-12-21","25-06-23","Brazil",46,"Male","Tablet"
"Basic",10,"02-04-23","24-06-23","Mexico",39,"Female","Laptop"
"Standard",12,"20-10-22","23-06-23","Spain",37,"Male","Smartphone"
"Premium",15,"07-01-23","22-06-23","Italy",44,"Female","Smart TV"
"Basic",10,"16-05-22","22-06-23","United States",31,"Female","Smartphone"
"Premium",15,"23-03-23","28-06-23","Canada",45,"Male","Tablet"
"Standard",12,"30-11-21","27-06-23","United Kingdom",48,"Female","Laptop"
"Basic",10,"01-08-22","26-06-23","Australia",27,"Male","Smartphone"
"Standard",12,"09-05-23","28-06-23","Germany",38,"Female","Smart TV"
"Premium",15,"07-04-22","27-06-23","France",36,"Male","Tablet"
"Basic",10,"24-01-22","25-06-23","Brazil",30,"Female","Laptop"
"Standard",12,"18-10-21","24-06-23","Mexico",43,"Male","Smartphone"
"Premium",15,"15-02-23","23-06-23","Spain",32,"Female","Smart TV"
"Basic",10,"27-05-23","22-06-23","Italy",41,"Male","Tablet"
"Premium",15,"10-06-23","22-06-23","United States",26,"Female","Laptop"
"Basic",10,"22-07-22","28-06-23","Canada",34,"Male","Smartphone"
"Standard",12,"05-12-21","27-06-23","United Kingdom",49,"Female","Smart TV"
"Standard",12,"03-04-22","26-06-23","Australia",31,"Male","Tablet"
"Basic",10,"14-03-23","28-06-23","Germany",40,"Female","Laptop"
"Premium",15,"12-01-22","27-06-23","France",29,"Male","Smartphone"
"Basic",10,"29-08-22","25-06-23","Brazil",47,"Female","Smart TV"
"Standard",12,"27-09-21","24-06-23","Mexico",33,"Male","Tablet"
"Premium",15,"19-12-22","23-06-23","Spain",36,"Female","Laptop"
"Basic",10,"17-05-23","22-06-23","Italy",42,"Male","Smartphone"
"Premium",15,"03-02-23","22-06-23","United States",28,"Female","Smart TV"
"Basic",10,"07-07-22","28-06-23","Canada",37,"Male","Tablet"
"Standard",12,"21-01-22","27-06-23","United Kingdom",41,"Female","Laptop"
"Standard",12,"25-05-22","26-06-23","Australia",29,"Male","Smartphone"
"Basic",10,"11-04-23","28-06-23","Germany",39,"Female","Smart TV"
"Premium",15,"01-03-22","27-06-23","France",35,"Male","Tablet"
"Basic",10,"14-09-22","25-06-23","Brazil",45,"Female","Laptop"
"Standard",12,"05-11-21","24-06-23","Mexico",32,"Male","Smartphone"
"Premium",15,"28-12-22","23-06-23","Spain",27,"Female","Smart TV"
"Basic",10,"07-03-23","22-06-23","Italy",48,"Male","Tablet"
"Premium",15,"20-01-23","22-06-23","United States",31,"Female","Laptop"
"Basic",10,"15-06-22","28-06-23","Canada",40,"Male","Smartphone"
"Standard",12,"07-02-22","27-06-23","United Kingdom",36,"Female","Smart TV"
"Standard",12,"26-04-22","26-06-23","Australia",29,"Male","Tablet"
"Basic",10,"28-01-23","28-06-23","Germany",43,"Female","Laptop"
"Premium",15,"23-02-22","27-06-23","France",34,"Male","Smartphone"
"Basic",10,"05-10-22","25-06-23","Brazil",39,"Female","Smart TV"
"Standard",12,"15-09-21","24-06-23","Mexico",32,"Male","Tablet"
"Premium",15,"10-11-22","23-06-23","Spain",28,"Female","Laptop"
"Basic",10,"02-06-23","22-06-23","Italy",45,"Male","Smartphone"
"Premium",15,"27-02-23","22-06-23","United States",30,"Female","Smart TV"
"Basic",10,"29-08-22","28-06-23","Canada",37,"Male","Tablet"
"Standard",12,"13-01-22","27-06-23","United Kingdom",41,"Female","Laptop"
"Standard",12,"30-06-22","26-06-23","Australia",29,"Male","Smartphone"
"Basic",10,"20-04-23","28-06-23","Germany",39,"Female","Smart TV"
"Premium",15,"15-03-22","27-06-23","France",36,"Male","Tablet"
"Basic",10,"01-10-22","25-06-23","Brazil",46,"Female","Laptop"
"Standard",12,"08-10-21","24-06-23","Mexico",34,"Male","Smartphone"
"Premium",15,"03-12-22","23-06-23","Spain",27,"Female","Smart TV"
"Basic",10,"14-06-23","22-06-23","Italy",42,"Male","Tablet"
"Premium",15,"08-02-23","22-06-23","United States",28,"Female","Laptop"
"Basic",10,"03-08-22","28-06-23","Canada",37,"Male","Smartphone"
"Standard",12,"23-02-22","27-06-23","United Kingdom",41,"Female","Smart TV"
"Standard",12,"20-06-22","26-06-23","Australia",29,"Male","Tablet"
"Basic",10,"29-03-23","28-06-23","Germany",40,"Female","Laptop"
"Premium",15,"30-01-22","27-06-23","France",29,"Male","Smartphone"
"Basic",10,"18-09-22","25-06-23","Brazil",47,"Female","Smart TV"
"Standard",12,"09-11-21","24-06-23","Mexico",33,"Male","Tablet"
"Premium",15,"23-12-22","23-06-23","Spain",36,"Female","Laptop"
"Basic",10,"08-05-23","22-06-23","Italy",41,"Male","Smartphone"
"Basic",10,"26-01-22","20-06-23","United States",27,"Male","Smartphone"
"Basic",10,"11-10-22","22-06-23","Canada",31,"Female","Smartphone"
"Standard",12,"27-09-22","26-06-23","United Kingdom",28,"Female","Laptop"
"Premium",13,"14-12-22","25-06-23","Australia",41,"Female","Smartphone"
"Basic",13,"28-05-22","26-06-23","Germany",28,"Female","Laptop"
"Basic",13,"29-12-21","26-06-23","France",51,"Female","Laptop"
"Premium",15,"25-12-22","23-06-23","Brazil",45,"Female","Smartphone"
"Standard",15,"18-11-22","28-06-23","Mexico",49,"Male","Tablet"
"Standard",15,"03-12-22","25-06-23","Spain",43,"Female","Laptop"
"Basic",12,"08-11-22","22-06-23","Italy",43,"Male","Tablet"
"Premium",10,"11-01-23","24-06-23","United States",37,"Male","Tablet"
"Standard",12,"07-12-22","28-06-23","Canada",35,"Male","Laptop"
"Basic",10,"20-10-22","26-06-23","United Kingdom",46,"Female","Smartphone"
"Standard",12,"13-04-23","25-06-23","Australia",32,"Male","Smartphone"
"Premium",10,"06-04-23","27-06-23","Germany",37,"Female","Laptop"
"Basic",11,"04-03-22","25-06-23","France",29,"Female","Smartphone"
"Premium",15,"28-12-21","23-06-23","Brazil",45,"Male","Smart TV"
"Standard",12,"27-09-22","28-06-23","Mexico",47,"Male","Tablet"
"Basic",15,"20-10-22","26-06-23","Spain",39,"Male","Smartphone"
"Standard",13,"03-02-23","23-06-23","Italy",49,"Female","Smartphone"
"Premium",11,"03-10-22","23-06-23","United States",39,"Male","Tablet"
"Basic",14,"05-01-22","28-06-23","Canada",39,"Male","Smart TV"
"Standard",12,"05-02-22","26-06-23","United Kingdom",35,"Male","Smartphone"
"Premium",12,"19-03-22","25-06-23","Australia",44,"Male","Smartphone"
"Basic",11,"28-02-22","25-06-23","Germany",34,"Male","Laptop"
"Premium",14,"26-07-22","24-06-23","France",32,"Male","Laptop"
"Basic",10,"05-03-22","24-06-23","Brazil",29,"Female","Tablet"
"Standard",13,"07-03-22","28-06-23","Mexico",31,"Female","Tablet"
"Standard",12,"13-01-23","24-06-23","Spain",29,"Female","Tablet"
"Basic",12,"22-01-23","25-06-23","Italy",35,"Male","Laptop"
"Premium",11,"17-10-22","24-06-23","United States",46,"Female","Tablet"
"Basic",12,"29-03-22","28-06-23","Canada",31,"Male","Tablet"
"Standard",13,"04-04-22","26-06-23","United Kingdom",36,"Male","Laptop"
"Premium",10,"08-06-22","25-06-23","Australia",38,"Male","Laptop"
"Basic",11,"04-03-22","27-06-23","Germany",46,"Female","Laptop"
"Premium",10,"18-03-22","24-06-23","France",49,"Female","Tablet"
"Basic",14,"07-03-22","24-06-23","Brazil",29,"Female","Smart TV"
"Standard",12,"24-05-22","25-06-23","Mexico",27,"Female","Smart TV"
"Standard",13,"08-02-23","25-06-23","Spain",35,"Female","Tablet"
"Basic",13,"26-01-23","24-06-23","Italy",37,"Female","Laptop"
"Premium",14,"14-07-22","27-06-23","United States",40,"Male","Tablet"
"Basic",10,"01-06-22","28-06-23","Canada",33,"Female","Laptop"
"Standard",15,"07-05-22","26-06-23","United Kingdom",37,"Male","Tablet"
"Premium",10,"18-11-22","25-06-23","Australia",48,"Male","Smartphone"
"Basic",11,"05-04-22","25-06-23","Germany",50,"Female","Laptop"
"Premium",14,"19-05-22","23-06-23","France",45,"Female","Smart TV"
"Basic",15,"30-10-21","23-06-23","Brazil",40,"Female","Tablet"
"Standard",12,"07-08-22","27-06-23","Mexico",33,"Male","Smartphone"
"Standard",11,"20-09-22","25-06-23","Spain",44,"Female","Smartphone"
